id,canonical_smiles,inchi,inchikey,pubchem_id,chembl_id,iupac_name,drugbank_id,fsp3,gc_molar_refractivity,a_log_p,molecular_weight,nb_acceptor_h,nb_aromatic_bonds,nb_atom,nb_atom_non_h,nb_benzene_like_rings,nb_bonds,nb_br,nb_c,nb_chiral_centers,nb_circuits,nb_cl,nb_donor_h,nb_f,nb_i,nb_n,nb_o,nb_rings,nb_rotatable_bonds,tpsa,lipinski_mw,lipinski_hba,lipinski_hbd,lipinski_a_log_p,lipinski,veber_hba_hbd,veber_tpsa,veber_rb,veber,pfizer_a_log_p,pfizer_tpsa,pfizer
0EC,COc1cc2nc(nc(N)c2cc1OC)N3CCNCC3,"InChI=1S/C14H19N5O2/c1-20-11-7-9-10(8-12(11)21-2)17-14(18-13(9)15)19-5-3-16-4-6-19/h7-8,16H,3-6H2,1-2H3,(H2,15,17,18)",APKHJGDGWQDBGM-UHFFFAOYSA-N,616267,CHEMBL1226,"6,7-dimethoxy-2-(piperazin-1-yl)quinazolin-4-amine",,0.43,82.14,0.64,289.15,7,11,21,21,1,42,0,14,0,,0,2,0,0,5,2,3,3,85.53,True,True,False,True,False,True,True,True,True,True,True,True
1PE,OCCOCCOCCOCCOCCO,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2",JLFNLZLINWHATN-UHFFFAOYSA-N,62551,CHEMBL1229766,"3,6,9,12-tetraoxatetradecane-1,14-diol",,1.00,57.45,-0.96,238.14,6,0,16,16,0,37,0,10,0,,0,2,0,0,0,6,0,13,77.38,True,True,False,True,False,True,True,False,False,True,True,True
1TU,Cn1c(C)nc(Cc2cc(F)c(O)c(F)c2)c1O,"InChI=1S/C12H12F2N2O2/c1-6-15-10(12(18)16(6)2)5-7-3-8(13)11(17)9(14)4-7/h3-4,17-18H,5H2,1-2H3",MSZRPLCUVKFQJC-UHFFFAOYSA-N,131633007,,"4-(3,5-difluoro-4-hydroxybenzyl)-1,2-dimethyl-1H-imidazol-5-ol",,0.25,60.44,2.01,254.09,4,11,18,18,1,31,0,12,0,,0,2,2,0,2,2,2,2,58.28,True,True,True,True,True,True,True,True,True,True,False,False
218,Cc1ncc(C[n+]2cccc(CCO)c2C)c(N)n1,"InChI=1S/C14H19N4O/c1-10-12(5-7-19)4-3-6-18(10)9-13-8-16-11(2)17-14(13)15/h3-4,6,8,19H,5,7,9H2,1-2H3,(H2,15,16,17)/q+1",PZWYDZMWPANLMB-UHFFFAOYSA-N,10803,CHEMBL1229798,1-[(4-amino-2-methylpyrimidin-5-yl)methyl]-3-(2-hydroxyethyl)-2-methylpyridinium,,0.36,72.45,0.55,259.16,4,12,19,19,0,39,0,14,0,,0,2,0,0,4,1,2,4,75.91,True,True,True,True,True,True,True,True,True,True,True,True
29G,Nc1nc(N)c2cncnc2n1,"InChI=1S/C6H6N6/c7-4-3-1-9-2-10-5(3)12-6(8)11-4/h1-2H,(H4,7,8,9,10,11,12)",CEXXKZCAMOMPLI-UHFFFAOYSA-N,13925348,,"pyrimido[4,5-d]pyrimidine-2,4-diamine",,0.00,43.95,-0.42,162.07,6,11,12,12,0,19,0,6,0,,0,2,0,0,6,0,2,0,103.60,True,True,False,True,False,True,True,True,True,True,True,True
29H,NC1=Nc2ncncc2C(=O)N1,"InChI=1S/C6H5N5O/c7-6-10-4-3(5(12)11-6)1-8-2-9-4/h1-2H,(H3,7,8,9,10,11,12)",HHOGMIYMABYION-UHFFFAOYSA-N,135566862,,"2-aminopyrimido[4,5-d]pyrimidin-4(3H)-one",,0.00,42.37,-0.70,163.05,5,6,12,12,0,18,0,6,0,,0,2,0,0,5,1,2,0,97.55,True,True,True,True,True,True,True,True,True,True,True,True
2BA,Nc1ncnc2n(cnc12)[C@@H]3O[C@@H]4CO[P@](O)(=O)O[C@H]5[C@@H](O)[C@@H](O[C@@H]5CO[P@](O)(=O)O[C@H]4[C@H]3O)n6cnc7c(N)ncnc67,"InChI=1S/C20H24N10O12P2/c21-15-9-17(25-3-23-15)29(5-27-9)19-11(31)13-7(39-19)1-37-43(33,34)42-14-8(2-38-44(35,36)41-13)40-20(12(14)32)30-6-28-10-16(22)24-4-26-18(10)30/h3-8,11-14,19-20,31-32H,1-2H2,(H,33,34)(H,35,36)(H2,21,23,25)(H2,22,24,26)/t7-,8-,11-,12-,13-,14-,19-,20-/m1/s1",PDXMFTWFFKBFIN-XPWFQUROSA-N,11158091,CHEMBL1229884,"(2R,3R,3aS,5R,7aR,9R,10R,10aS,12R,14aR)-2,9-bis(6-amino-9H-purin-9-yl)octahydro-2H,7H-difuro[3,2-d:3',2'-j][1,3,7,9,2,8]tetraoxadiphosphacyclododecine-3,5,10,12-tetrol 5,12-dioxide",,0.50,140.60,-1.64,658.11,20,20,44,44,0,74,0,20,10,,0,6,0,0,10,12,7,2,309.68,False,False,False,True,False,False,False,True,False,True,True,True
2QB,Cc1ncc(CN=[N+]=[N-])c(N)n1,"InChI=1S/C6H8N6/c1-4-9-2-5(3-10-12-8)6(7)11-4/h2H,3H2,1H3,(H2,7,9,11)",HRZOZFYDZBEQQQ-UHFFFAOYSA-N,71372702,,5-(azidomethyl)-2-methylpyrimidin-4-amine,,0.33,44.03,1.18,164.08,4,6,12,12,0,20,0,6,0,,0,1,0,0,6,0,1,2,100.56,True,True,True,True,True,True,True,True,True,True,True,True
2QC,NCc1ccc(cc1)c2csnn2,"InChI=1S/C9H9N3S/c10-5-7-1-3-8(4-2-7)9-6-13-12-11-9/h1-4,6H,5,10H2",FWSCINFUBQNPJM-UHFFFAOYSA-N,2737288,CHEMBL3775458,"1-[4-(1,2,3-thiadiazol-4-yl)phenyl]methanamine",,0.11,53.24,1.66,191.05,4,11,13,13,1,23,0,9,0,,0,1,0,0,3,0,2,2,51.80,True,True,True,True,True,True,True,True,True,True,False,False
2ZY,CC1=NC(=C/c2cc(F)c(O)c(F)c2)\C(=O)N1CC(F)(F)F,"InChI=1S/C13H9F5N2O2/c1-6-19-10(12(22)20(6)5-13(16,17)18)4-7-2-8(14)11(21)9(15)3-7/h2-4,21H,5H2,1H3/b10-4-",AWYCLBWNRONMQC-WMZJFQQLSA-N,101889712,,"(5Z)-5-(3,5-difluoro-4-hydroxybenzylidene)-2-methyl-3-(2,2,2-trifluoroethyl)-3,5-dihydro-4H-imidazol-4-one",,0.23,66.88,2.83,320.06,3,6,22,22,1,32,0,13,0,,0,1,5,0,2,2,2,2,52.90,True,True,True,True,True,True,True,True,True,True,False,False
2ZZ,CN1C(=NC(=C/c2cccc(Br)c2)\C1=O)C,"InChI=1S/C12H11BrN2O/c1-8-14-11(12(16)15(8)2)7-9-4-3-5-10(13)6-9/h3-7H,1-2H3/b11-7-",GMGJCAXSTZCSRA-XFFZJAGNSA-N,137348109,,"(5Z)-5-(3-bromobenzylidene)-2,3-dimethyl-3,5-dihydro-4H-imidazol-4-one",,0.17,68.00,2.68,278.01,2,6,16,16,1,28,1,12,0,,0,0,0,0,2,1,2,1,32.67,True,True,True,True,True,True,True,True,True,True,False,False
38E,CN1C(=NC(=C/c2cc(F)c(O)c(F)c2)\C1=O)C,"InChI=1S/C12H10F2N2O2/c1-6-15-10(12(18)16(6)2)5-7-3-8(13)11(17)9(14)4-7/h3-5,17H,1-2H3/b10-5-",ZDDIJYXDUBFLID-YHYXMXQVSA-N,70808995,,"(5Z)-5-(3,5-difluoro-4-hydroxybenzylidene)-2,3-dimethyl-3,5-dihydro-4H-imidazol-4-one",,0.17,61.88,1.90,252.07,3,6,18,18,1,29,0,12,0,,0,1,2,0,2,2,2,1,52.90,True,True,True,True,True,True,True,True,True,True,False,False
3AT,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C[C@H]3O,"InChI=1S/C10H16N5O12P3/c11-8-7-9(13-3-12-8)15(4-14-7)10-6(16)1-5(25-10)2-24-29(20,21)27-30(22,23)26-28(17,18)19/h3-6,10,16H,1-2H2,(H,20,21)(H,22,23)(H2,11,12,13)(H2,17,18,19)/t5-,6+,10+/m0/s1",NLIHPCYXRYQPSD-BAJZRUMYSA-N,65562,CHEMBL480329,3'-deoxyadenosine 5'-(tetrahydrogen triphosphate),DB01860,0.50,94.09,-0.60,491.00,13,10,30,30,0,48,0,10,3,,0,6,0,0,5,12,3,8,258.90,True,False,False,True,False,False,False,True,False,True,True,True
